MonitoringLocationName,MonitoringLocationID,ActivityType,ActivityMediaName,ActivityStartDate,CharacteristicName,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType
Lake Ontario,22,Field Msr/Obs,Surface Water,2023-04-14,"Temperature, water",,7.5,deg C,Actual
Lake Huron,82,Field Msr/Obs,Surface Water,2022-09-15,"Temperature, water",,18.5,deg C,Actual
Lake Huron,82,Field Msr/Obs,Surface Water,2022-06-04,"Temperature, water",,7.7,deg C,Actual
Lake Huron,82,Field Msr/Obs,Surface Water,2024-09-06,"Temperature, water",,18.5,deg C,Actual
Lake Huron,71,Field Msr/Obs,Surface Water,2022-06-04,"Temperature, water",,10,deg C,Actual
Lake Huron,71,Field Msr/Obs,Surface Water,2022-09-15,"Temperature, water",,19,deg C,Actual
Lake Huron,71,Field Msr/Obs,Surface Water,2024-09-05,"Temperature, water",,18.5,deg C,Actual
Lake Superior,118,Field Msr/Obs,Surface Water,2024-09-15,"Temperature, water",,17,deg C,Actual
Lake Superior,118,Field Msr/Obs,Surface Water,2024-06-10,"Temperature, water",,4.5,deg C,Actual
Lake Superior,43,Field Msr/Obs,Surface Water,2024-06-09,"Temperature, water",,4,deg C,Actual
Lake Superior,43,Field Msr/Obs,Surface Water,2024-09-14,"Temperature, water",,16,deg C,Actual
Lake Erie,889,Field Msr/Obs,Surface Water,2022-08-18,"Temperature, water",,24.5,deg C,Actual
Lake Erie,889,Field Msr/Obs,Surface Water,2023-05-18,"Temperature, water",,10.5,deg C,Actual
Lake Erie,889,Field Msr/Obs,Surface Water,2024-04-18,"Temperature, water",,6.06,deg C,Actual
Lake Superior,169,Field Msr/Obs,Surface Water,2024-09-17,"Temperature, water",,19,deg C,Actual
Lake Superior,169,Field Msr/Obs,Surface Water,2024-06-11,"Temperature, water",,3.8,deg C,Actual
Lake Huron,17,Field Msr/Obs,Surface Water,2022-09-20,"Temperature, water",,20.7,deg C,Actual
Lake Huron,17,Field Msr/Obs,Surface Water,2022-05-31,"Temperature, water",,11.5,deg C,Actual
Lake Huron,17,Field Msr/Obs,Surface Water,2024-08-27,"Temperature, water",,22,deg C,Actual
Lake Huron,4,Field Msr/Obs,Surface Water,2022-09-21,"Temperature, water",,21,deg C,Actual
Lake Huron,4,Field Msr/Obs,Surface Water,2024-08-28,"Temperature, water",,22,deg C,Actual
Lake Erie,880,Field Msr/Obs,Surface Water,2022-08-18,"Temperature, water",,24,deg C,Actual
Lake Erie,880,Field Msr/Obs,Surface Water,2023-05-18,"Temperature, water",,11,deg C,Actual
Lake Erie,880,Field Msr/Obs,Surface Water,2024-08-13,"Temperature, water",,27,deg C,Actual
Lake Ontario,54,Field Msr/Obs,Surface Water,2022-04-24,"Temperature, water",,3.9,deg C,Actual
Lake Ontario,54,Field Msr/Obs,Surface Water,2023-04-15,"Temperature, water",,4,deg C,Actual
Lake Superior,152,Field Msr/Obs,Surface Water,2024-09-17,"Temperature, water",,16.5,deg C,Actual
Lake Superior,152,Field Msr/Obs,Surface Water,2024-06-13,"Temperature, water",,4,deg C,Actual
Lake Erie,958,Field Msr/Obs,Surface Water,2022-08-18,"Temperature, water",,24.6,deg C,Actual
